,1,Civic X Type R,K20C,320,Manual,/honda/civic/civic_x_2017_2020_type_r.jpg,"Información general Marca	Honda Modelo	Civic Generación	Civic X Type R Modificación (motor)	2.0 (320 CV) Año de la puesta en producción	2017 años Año de finalización de la producción	2020 años Arquitectura de la unidad de potencia	Motor de combustión interna Tipo de carrocería	Hatchback Numero de plazas	5 Numero de puertas	5 Rendimiento Consumo de combustible en baja velocidad (WLTP)	11.2 l/100 km 21 US mpg 25.22 UK mpg Consumo de combustible en velocidad mediana (WLTP)	8.2 l/100 km 28.68 US mpg 34.45 UK mpg Consumo de combustible en velocidad alta (WLTP)	7.4 l/100 km 31.79 US mpg 38.17 UK mpg Consumo de combustible en velocidad muy alta (WLPT)	8.6 l/100 km 27.35 US mpg 32.85 UK mpg Consumo de combustible combinado (WPLT)	8.5 l/100 km 27.67 US mpg 33.23 UK mpg Emisión CO2 Ponderada (WLTP)	178 gr/km Consumo de combustible urbano	9.8 l/100 km 24 US mpg 28.82 UK mpg Consumo de combustible extraurbano	6.5 l/100 km 36.19 US mpg 43.46 UK mpg Consumo de combustible combinado	7.7 l/100 km 30.55 US mpg 36.69 UK mpg Emisión CO2 Ponderada	176 gr/km Combustible	Gasolina Aceleración 0 - 100 km/h	5.8 s Aceleración 0 - 62 mph	5.8 s Aceleración 0 - 60 mph (Calculado por Auto-Data.net)	5.5 s Velocidad máxima	272 km/h 169.01 mph Clasificación de los gases de escape	Euro 6 Relación peso/potencia	4.1 kg/CV, 245.2 CV/tonelada Motor Potencia máxima	320 CV @ 6500rpm. Potencia por litro	160.3 CV/l Par máximo	400 Nm @ 2500-4500rpm. 295.02 lb.-ft. @ 2500-4500rpm. Posición del motor	Frontal, transversal Modelo del motor	K20C, K20C1 Cilindrada -real-	1996 cm3 121.8 cu. in. Número de cilindros	4 Distribución de los cilindros	En línea Diámetro del cilindro	86 mm 3.39 in. Recorrido del cilindro	85.9 mm 3.38 in. Ratio de compresión	9.8 Número de válvulas por cilindro	4 Sistema de combustible	inyección directa Aspiración del motor	Turbocompresor Distribución	DOHC Capacidad de aceite del motor	5.4 l 5.71 US qt | 4.75 UK qt refrigerante	4.7 l 4.97 US qt | 4.14 UK qt Volumen y peso Peso en orden de marcha	1305-1345 kg 2877.03 - 2965.22 lbs. Peso máximo admisible	1760 kg 3880.14 lbs. Carga máxima	415-455 kg 914.92 - 1003.1 lbs. Capacidad maletero min.	420 l 14.83 cu. ft. Capacidad depósito	46 l 12.15 US gal | 10.12 UK gal Medidas Longitud	4557 mm 179.41 in. Anchura	1877 mm 73.9 in. Altura	1434 mm 56.46 in. Distancia entre ejes	2699 mm 106.26 in. Vía delantera	1584 mm 62.36 in. Vía trasera	1602 mm 63.07 in. Distancia al suelo	126 mm 4.96 in. Diámetro giro	12.56 m 41.21 ft. Cadena cinemática, frenos y suspensión Arquitectura de propulsión	El motor de combustión interna propulsa las ruedas delanteras del vehículo. Tracción	Tracción delantera Número de velocidades (transmisión manual)	6 Suspensión delantera	Independiente de tipo McPherson Suspensión trasera	Multi-link independiente Frenos delanteros	Discos ventilados Frenos traseros	Discos Sistemas de asistencia	ABS (Sistema antibloqueo de ruedas) Dirección, tipo	Cremallera de dirección Dirección asistida	Dirección Eléctrica Tamaño de neumáticos	245/30 ZR20 Tamaño de llantas	8.5J x 20  2017 Honda Civic X Type R 2.0 (320 CV) | Ficha técnica y consumo , Medidas: https://www.auto-data.net/es/honda-civic-x-type-r-2.0-320hp-31022"
,1,s2000,F20C,240,Manual,/honda/s2000/s2000.jpg,"Información general Marca	Honda Modelo	S2000 Generación	S2000 (AP1, facelift 2004) Modificación (motor)	2.0 (240 CV) Año de la puesta en producción	Enero, 2004 años Año de finalización de la producción	Enero, 2008 años Arquitectura de la unidad de potencia	Motor de combustión interna Tipo de carrocería	Cabriolet Numero de plazas	2 Numero de puertas	2 Rendimiento Consumo de combustible urbano	13.2 l/100 km 17.82 US mpg 21.4 UK mpg Consumo de combustible extraurbano	7.9 l/100 km 29.77 US mpg 35.76 UK mpg Consumo de combustible combinado	9.9 l/100 km 23.76 US mpg 28.53 UK mpg Emisión CO2 Ponderada	235 gr/km Combustible	Gasolina Aceleración 0 - 100 km/h	6.2 s Aceleración 0 - 62 mph	6.2 s Aceleración 0 - 60 mph (Calculado por Auto-Data.net)	5.9 s Velocidad máxima	240 km/h 149.13 mph Clasificación de los gases de escape	Euro 4 Relación peso/potencia	5.3 kg/CV, 189 CV/tonelada Motor Potencia máxima	240 CV @ 8300rpm. Potencia por litro	120.2 CV/l Par máximo	208 Nm @ 7500rpm. 153.41 lb.-ft. @ 7500rpm. Posición del motor	Frontal, longitudinal Modelo del motor	F20C Cilindrada -real-	1997 cm3 121.86 cu. in. Número de cilindros	4 Distribución de los cilindros	En línea Diámetro del cilindro	87 mm 3.43 in. Recorrido del cilindro	84 mm 3.31 in. Ratio de compresión	11 Número de válvulas por cilindro	4 Sistema de combustible	Inyección indirecta multipunto Aspiración del motor	Motor atmosférico Distribución	DOHC Volumen y peso Peso en orden de marcha	1270 kg 2799.87 lbs. Peso máximo admisible	1535 kg 3384.1 lbs. Carga máxima	265 kg 584.22 lbs. Capacidad maletero min.	143 l 5.05 cu. ft. Capacidad depósito	50 l 13.21 US gal | 11 UK gal Medidas Longitud	4135 mm 162.8 in. Anchura	1750 mm 68.9 in. Altura	1285 mm 50.59 in. Distancia entre ejes	2400 mm 94.49 in. Vía delantera	1470 mm 57.87 in. Vía trasera	1510 mm 59.45 in. Distancia al suelo	108 mm 4.25 in. Diámetro giro	11.3 m 37.07 ft. Cadena cinemática, frenos y suspensión Arquitectura de propulsión	El motor de combustión interna propulsa las ruedas traseras del vehículo. Tracción	Tracción trasera Número de velocidades (transmisión manual)	6 Suspensión delantera	Suspensión de doble horquilla Suspensión trasera	Suspensión de doble horquilla Frenos delanteros	Discos ventilados Frenos traseros	Discos Sistemas de asistencia	ABS (Sistema antibloqueo de ruedas) Dirección, tipo	Cremallera de dirección Dirección asistida	Dirección Eléctrica Tamaño de neumáticos	Neumáticos delanteros: 215/45 R17 Neumáticos traseros: 245/40 R17 Tamaño de llantas	Llantas delanteras: 7.0J x 17 Llantas traseras: 8.5J x 17  2004 Honda S2000 (AP1, facelift 2004) 2.0 (240 CV) | Ficha técnica y consumo , Medidas: https://www.auto-data.net/es/honda-s2000-ap1-facelift-2004-2.0-240hp-12369"
,3,MX5 IV ND,SkyActiv G,160,Manual,/mazda/mx5/mx5_iv_nd_160.jpg,"Información general Marca	Mazda Modelo	MX-5 Generación	MX-5 IV (ND) Modificación (motor)	2.0 SkyActiv G (160 CV) Año de la puesta en producción	2015 años Año de finalización de la producción	2018 años Arquitectura de la unidad de potencia	Motor de combustión interna Tipo de carrocería	Cabriolet Numero de plazas	2 Numero de puertas	2 Rendimiento Consumo de combustible urbano	9.3 l/100 km 25.29 US mpg 30.37 UK mpg Consumo de combustible extraurbano	5.5 l/100 km 42.77 US mpg 51.36 UK mpg Consumo de combustible combinado	6.9 l/100 km 34.09 US mpg 40.94 UK mpg Emisión CO2 Ponderada	161 gr/km Combustible	Gasolina Aceleración 0 - 100 km/h	7.3 s Aceleración 0 - 62 mph	7.3 s Aceleración 0 - 60 mph (Calculado por Auto-Data.net)	6.9 s Velocidad máxima	214 km/h 132.97 mph Clasificación de los gases de escape	Euro 6 Relación peso/potencia	6.3 kg/CV, 160 CV/tonelada Motor Potencia máxima	160 CV @ 6000rpm. Potencia por litro	80.1 CV/l Par máximo	200 Nm @ 4600rpm. 147.51 lb.-ft. @ 4600rpm. Posición del motor	Frontal, longitudinal Cilindrada -real-	1998 cm3 121.93 cu. in. Número de cilindros	4 Distribución de los cilindros	En línea Diámetro del cilindro	83.5 mm 3.29 in. Recorrido del cilindro	91.2 mm 3.59 in. Ratio de compresión	13 Número de válvulas por cilindro	4 Sistema de combustible	inyección directa Aspiración del motor	Motor atmosférico Volumen y peso Peso en orden de marcha	1000 kg 2204.62 lbs. Peso máximo admisible	1260 kg 2777.82 lbs. Carga máxima	260 kg 573.2 lbs. Capacidad maletero min.	130 l 4.59 cu. ft. Capacidad depósito	45 l 11.89 US gal | 9.9 UK gal Medidas Longitud	3915 mm 154.13 in. Anchura	1735 mm 68.31 in. Anchura incluidos los espejos	1918 mm 75.51 in. Altura	1230 mm 48.43 in. Distancia entre ejes	2310 mm 90.94 in. Vía delantera	1495 mm 58.86 in. Vía trasera	1505 mm 59.25 in. Distancia al suelo	125 mm 4.92 in. Diámetro giro	9.4 m 30.84 ft. Cadena cinemática, frenos y suspensión Arquitectura de propulsión	El motor de combustión interna propulsa las ruedas traseras del vehículo. Tracción	Tracción trasera Número de velocidades (transmisión manual)	6 Frenos delanteros	Discos ventilados Frenos traseros	Discos Sistemas de asistencia	ABS (Sistema antibloqueo de ruedas) Dirección, tipo	Cremallera de dirección Dirección asistida	Dirección Eléctrica   2015 Mazda MX-5 IV (ND) 2.0 SkyActiv G (160 CV) | Ficha técnica y consumo , Medidas: https://www.auto-data.net/es/mazda-mx-5-iv-nd-2.0-skyactiv-g-160hp-23233"
,4,Lancer Evo 7,,,,,
